総合順位,総合スコア,成長性スコア,リスク調整スコア,低コストスコア,使いやすさスコア,5年実績スコア,5年試算_標準15pct,5年試算_1σ下落後回復,5年試算_強気30pct,5年信託報酬影響額_15pct前提,協会コード,ファンド名,愛称,ファンド名略称,委託会社,積立対象,NISA (成長投資枠),NISA (つみたて投資枠),金額指定対象,口数指定対象,インデックス対象,為替ヘッジあり対象,通貨選択型対象,ファンド分類,ファンド分類詳細,投資地域,基準価額(円),前日比(円),前日比率,設定来高値,設定来高値 (日付),設定来安値,設定来安値 (日付),純資産(百万円),販売金額ランキング,前回比較,買付手数料,信託報酬,信託報酬 (追加文言),信託財産留保額,信託財産留保額 (追加文言),直近分配金（円）,年間分配金累計(円),分配金利回り,次回決算日,決算頻度,基準価額単位 (口あたり),約定日,受渡日,設定日,償還日,当社取扱日,騰落率(前日比),騰落率(前週比),騰落率(前月比),騰落率(6ヵ月),騰落率(1年),騰落率(3年),トータルリターン(6ヵ月),トータルリターン(1年),トータルリターン(3年),3ヵ月連続流入,3ヵ月連続流出,リスクメジャー(3年),シャープレシオ(1年),標準偏差（σ-シグマ）（1年）,ファンドレーティング(総合)
1,60.490023,38.453901,20.860506,100.000000,69.476193,70.426913,3991069.955631,1741119.193140,7374166.331297,31644.419369,29314233,ニッセイＳＯＸ指数インデックスファンド（米国半導体株）＜購入・換金手数料なし＞,,SOX指数インデックス,ニッセイアセットマネジメント,〇,〇,,〇,〇,〇,,,国際株式,国際株式・北米（F）,北米,47040,'-5238,'-10.020,53395,2026/06/04,9338,2023/04/26,126864,7,↑,0.000,0.181500,,なし,,0,0,,2026/09/24,年1回,10000,ご注文日の翌営業日,約定日から3営業日後,2023/03/31,,2023/03/31,'-10.02,'-4.2,11.81,72.38,170.81,303.29,88.28,190.92,60.53,〇,,5,3.81,49.91,5
2,51.456097,59.981357,21.447186,93.461647,63.126111,21.313844,3971036.507056,1602913.526906,7341420.535862,51677.867944,03311247,ｅＭＡＸＩＳ　日経半導体株インデックス,,eMAXIS 日経半導体インデ,三菱ＵＦＪアセットマネジメント,〇,〇,,〇,〇,〇,,,国内株式,国内大型グロース,日本,23435,'-1836,'-7.270,25762,2026/06/04,5414,2025/04/07,68190,6,→,0.000,0.297000,以内,なし,,0,0,,2027/01/26,年1回,10000,ご注文日の当日,約定日から3営業日後,2024/07/12,,2024/07/12,'-7.27,'-1.79,12.41,102.92,216.6,,110.36,220.37,,〇,,,4.09,53.7,
3,46.669079,1.998949,44.749164,16.869516,89.763780,87.500000,3742291.541354,2115294.389541,6966415.292290,280422.833646,01313098,野村世界業種別投資シリーズ（世界半導体株投資）,,世界業種別投資　半導体株,野村アセットマネジメント,〇,〇,,〇,〇,,,,国際株式,国際株式・グローバル・含む日本（F）,グローバル,351337,'-24183,'-6.440,386863,2026/06/03,8242,2011/08/22,928368,12,→,0.000,1.650000,,0.3％,,8000,8000,,2026/06/29,年1回,10000,ご注文日の翌営業日,約定日から4営業日後,2009/08/27,,2023/10/17,'-6.44,'-4.49,3.98,46.19,116.19,295.15,51.97,140.36,66.25,〇,,5,3.89,35.93,5
4,46.479174,100.000000,85.669291,0.311350,51.497897,11.296647,3694255.127870,1796194.010827,6887396.585969,328459.247130,09311247,アジア半導体関連フォーカスファンド,ライジング・セミコン・アジア,アジア半導体関連,ＳＢＩ岡三アセットマネジメント,,〇,,〇,〇,,,,国際株式,国際株式・グローバル・含む日本（F）,グローバル,29755,'-632,'-2.080,30961,2026/06/02,5649,2025/04/10,39466,,,0.000,1.942500,程度,0.3％,,0,0,,2026/07/17,年2回,10000,ご注文日の翌営業日,約定日から5営業日後,2024/07/17,2045/07/14,2026/01/15,'-2.08,'-3.65,13.96,131.36,282.9,,140.78,281.89,,,〇,,6.25,45.03,
5,46.264996,59.398481,20.963211,91.593547,33.439082,21.000860,3965327.466154,1600723.889494,7332085.993470,57386.908846,0131124A,野村インデックスファンド・日経半導体株,Ｆｕｎｄｓ−ｉ　日経半導体株,野村インデ日経半導体株,野村アセットマネジメント,〇,〇,,〇,〇,〇,,,国内株式,国内大型グロース,日本,29138,'-2260,'-7.200,31983,2026/06/04,6744,2025/04/07,4867,70,↑,0.000,0.330000,,なし,,0,0,,2026/09/07,年1回,10000,ご注文日の当日,約定日から3営業日後,2024/10/11,,2024/10/11,'-7.2,'-1.53,12.68,103.19,216.51,,110.08,219.37,,〇,,,4.07,53.71,
6,41.587137,92.735913,37.926421,12.454005,83.867878,12.507309,3729433.257912,1482264.683869,6945273.089132,293281.117088,64311237,半導体関連　世界株式戦略ファンド,半導体革命,半導体関連世界株式戦略F,三井住友トラスト・アセットマネジメント,〇,〇,,〇,〇,,,,国際株式,国際株式・グローバル・含む日本（F）,グローバル,39574,'-3572,'-8.280,43639,2026/06/04,8458,2025/04/09,529560,15,↑,0.000,1.728000,以内,なし,,0,0,,2026/07/07,年1回,10000,ご注文日の翌営業日,約定日から4営業日後,2023/07/31,,2024/07/02,'-8.28,'-4.76,10.74,108.83,239.11,,138.62,268.58,,,〇,,4.88,54.98,
7,41.456804,18.200000,25.000000,82.253043,52.756953,20.000000,3936880.669266,1722868.785965,7285555.598136,85833.705734,04312257,ｉＦｒｅｅＮＥＸＴ　全世界半導体株インデックス,,iFreeNEXT 全世界半導体株,大和アセットマネジメント,〇,〇,,〇,〇,〇,,,国際株式,国際株式・グローバル・含む日本（F）,グローバル,17044,'-1308,'-7.130,18916,2026/06/03,9587,2025/08/04,28465,41,↑,0.000,0.495000,,なし,,,,,2026/07/28,年1回,10000,ご注文日の翌営業日,約定日から4営業日後,2025/07/29,2045/07/28,2025/07/29,'-7.13,'-4.58,5.07,38.86,,,45.63,,,〇,,,,,
8,41.425936,53.961463,24.754273,69.515992,51.196941,10.423044,3898352.926657,1651035.016190,7222486.068715,124361.448343,59311253,しんきん日米半導体株ファンド,,しんきん日米半導体株,しんきんアセットマネジメント投信,〇,〇,,〇,〇,,,,国際株式,国際株式・グローバル・含む日本（F）,グローバル,31567,'-3047,'-8.800,35316,2026/06/04,7815,2025/04/07,29845,93,↑,0.000,0.720000,程度,なし,,40,40,,2026/12/21,年1回,10000,ご注文日の翌営業日,約定日から3営業日後,2025/03/28,,2025/04/22,'-8.8,'-3.14,12.37,91.43,197.33,,105.04,211.59,,,,,4.09,51.6,
9,40.572816,37.874671,20.689385,83.187093,43.082047,12.300946,3939717.980064,1724550.083090,7290197.978861,82996.394936,02313239,インデックスファンドＳＯＸ指数（米国上場半導体株式）,,インデックスSOX米半導体,アモーヴァ・アセットマネジメント,〇,〇,,〇,〇,〇,,,国際株式,国際株式・北米（F）,北米,37893,'-4220,'-10.020,43008,2026/06/04,9280,2023/10/31,14984,119,↓,0.000,0.478500,,なし,,0,0,,2026/09/28,年1回,10000,ご注文日の翌営業日,約定日から3営業日後,2023/09/29,,2025/03/26,'-10.02,'-4.18,11.72,72.16,169.74,,88.09,189.87,,,,,3.8,49.87,
10,37.544794,13.235035,12.503937,93.461647,32.283465,21.128117,3971036.507056,1833483.809610,7341420.535862,51677.867944,29311249,ニッセイ・Ｓ日本半導体株式インデックスファンド＜購入・換金手数料なし＞,ＮＳＯＸ,ニッセイS日本半導体株,ニッセイアセットマネジメント,〇,〇,,〇,〇,〇,,,国内株式,国内大型グロース,日本,22673,'-1739,'-7.120,25341,2026/06/04,6761,2025/04/07,4434,75,↑,0.000,0.297000,,なし,,0,0,,2027/02/15,年1回,10000,ご注文日の当日,約定日から4営業日後,2024/09/04,,2024/09/04,'-7.12,'-2.21,1.03,53.61,140.79,,66.32,153.93,,〇,,,3.26,47.04,
